EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-20 09:01:47, purchase_requisition={}, production_order={990001}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3079, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70092}, amount_material=0, time=2019-06-03 09:30:43, purchase_requisition={300125}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_8939, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70077}, amount_material=0, time=2019-06-03 09:34:20, purchase_requisition={}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_3424, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req2}, activity=goods receipt for purchase order, material={}, purchase_order={70060}, amount_material=0, time=2019-06-03 09:36:57, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_1722, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 09:43:26, purchase_requisition={300121}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_1444, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70039}, amount_material=0, time=2019-06-03 09:46:17, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_742, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 09:47:19, purchase_requisition={300130}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_4447, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 09:50:08, purchase_requisition={300151}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_2572, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70087}, amount_material=0, time=2019-06-03 09:58:48, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9006, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:09:09, purchase_requisition={300153}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_6743, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_342, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:16:06, purchase_requisition={}, production_order={990036}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5585, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70008}, amount_material=0, time=2019-06-03 10:19:25, purchase_requisition={}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-10, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-03 10:28:17, purchase_requisition={}, production_order={990083}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:28:17, purchase_requisition={300164}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:28:17, purchase_requisition={300165}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_7419, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70072}, amount_material=0, time=2019-06-03 10:33:23, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_6588, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:42:32, purchase_requisition={300155}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7639, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:46:51, purchase_requisition={300143}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_4189, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70080}, amount_material=0, time=2019-06-03 10:52:32, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_6389, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 10:53:46, purchase_requisition={300163}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2478, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:14:18, purchase_requisition={300129}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_244, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:16:58, purchase_requisition={300103}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_1722, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70093}, amount_material=0, time=2019-06-03 11:25:32, purchase_requisition={300121}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_1471, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1015, RESERV_NO=SAMPLE_RES_386, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1015}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:32:18, purchase_requisition={}, production_order={990001}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_1471, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-03}	 | 	(LOG: {required_material={}, activity=confirm production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-06-03 11:32:18, purchase_requisition={}, production_order={990001}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3067, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:32:56, purchase_requisition={300089}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_8803, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:37:52, purchase_requisition={300154}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_3372, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_1794, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:42:42, purchase_requisition={}, production_order={990006}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_9514, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70063}, amount_material=0, time=2019-06-03 11:44:30, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2102, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:48:48, purchase_requisition={300092}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_2125, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req2, RESERV_NO=SAMPLE_RES_8049, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req2}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:49:50, purchase_requisition={}, production_order={990019}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_2125, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-03}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-03 11:49:50, purchase_requisition={}, production_order={990019}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1603, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 11:58:56, purchase_requisition={300149}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_6758, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70089}, amount_material=0, time=2019-06-03 12:00:09, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_1581, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70081}, amount_material=0, time=2019-06-03 12:08:48, purchase_requisition={}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-10, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-03 12:16:21, purchase_requisition={}, production_order={990084}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 12:16:21, purchase_requisition={300166}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 12:16:21, purchase_requisition={300167}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2478, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 12:21:00, purchase_requisition={300129}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5768, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1018}, activity=goods receipt for purchase order, material={}, purchase_order={70068}, amount_material=0, time=2019-06-03 12:28:47, purchase_requisition={}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_6102, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1015, RESERV_NO=SAMPLE_RES_7243, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1015}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 12:31:07, purchase_requisition={}, production_order={990076}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_662, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 12:52:44, purchase_requisition={300152}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8940, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70082}, amount_material=0, time=2019-06-03 12:54:04, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_2463, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70094}, amount_material=0, time=2019-06-03 12:54:54, purchase_requisition={300038}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_1443, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 12:58:05, purchase_requisition={300134}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_932, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70095}, amount_material=0, time=2019-06-03 13:05:08, purchase_requisition={300109}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2976, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 13:13:09, purchase_requisition={300164}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_3614, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70096}, amount_material=0, time=2019-06-03 13:15:50, purchase_requisition={300132}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_9272, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 13:35:57, purchase_requisition={300105}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2755, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 13:50:23, purchase_requisition={300116}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-10, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-06-03 13:52:29, purchase_requisition={}, production_order={990085}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 13:52:29, purchase_requisition={300168}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 13:52:29, purchase_requisition={300169}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_5028, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1015, RESERV_NO=SAMPLE_RES_9620, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1015}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 13:55:32, purchase_requisition={}, production_order={990013}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_5028, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-03}	 | 	(LOG: {required_material={}, activity=confirm production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-06-03 13:55:32, purchase_requisition={}, production_order={990013}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_2926, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_2588, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 14:20:53, purchase_requisition={}, production_order={990047}})
EXECUTING confirm production order with SAP params: {SCRAP=0, ORDERID=SAMPLE_PRODORD_2926, FIN_CONF=X, YIELD=400, POSTG_DATE=2019-06-03}	 | 	(LOG: {required_material={}, activity=confirm production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-03 14:20:53, purchase_requisition={}, production_order={990047}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_7768, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=req1, RESERV_NO=SAMPLE_RES_9224, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 14:33:16, purchase_requisition={}, production_order={990048}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_4440, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 14:33:39, purchase_requisition={300140}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_5924, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 14:40:11, purchase_requisition={300126}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_6768, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70092}, amount_material=0, time=2019-06-03 14:43:28, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_244, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1015}, activity=convert to purchase order, material={}, purchase_order={70097}, amount_material=0, time=2019-06-03 14:55:48, purchase_requisition={300103}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_5259, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70066}, amount_material=0, time=2019-06-03 14:57:38, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2737, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 14:58:20, purchase_requisition={300058}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2217, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 15:00:36, purchase_requisition={300065}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_6831, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70091}, amount_material=0, time=2019-06-03 15:10:21, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_1667, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70098}, amount_material=0, time=2019-06-03 15:19:20, purchase_requisition={300127}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_6598, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={req1}, activity=goods receipt for purchase order, material={}, purchase_order={70034}, amount_material=0, time=2019-06-03 15:21:10, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1649, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 15:28:01, purchase_requisition={300166}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8107, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70047}, amount_material=0, time=2019-06-03 15:34:22, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_8892, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70095}, amount_material=0, time=2019-06-03 15:39:20, purchase_requisition={}, production_order={}})
EXECUTING release purchase order with SAP params: {PURCHASEORDER=SAMPLE_PURORD_7006, PO_REL_CODE=CE}	 | 	(LOG: {required_material={}, activity=release purchase order, material={}, purchase_order={70059}, amount_material=0, time=2019-06-03 15:43:05, purchase_requisition={}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_7538, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70099}, amount_material=0, time=2019-06-03 15:44:39, purchase_requisition={300086}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_2217, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={DPC1015}, activity=convert to purchase order, material={}, purchase_order={70100}, amount_material=0, time=2019-06-03 15:52:57, purchase_requisition={300065}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1062, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 15:58:01, purchase_requisition={300160}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_6389, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 15:58:55, purchase_requisition={300163}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_4879, CREAT_DATE=2019-06-03, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req1}, activity=convert to purchase order, material={}, purchase_order={70101}, amount_material=0, time=2019-06-03 16:02:52, purchase_requisition={300135}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-06-10, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-06-03 16:04:45, purchase_requisition={}, production_order={990086}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 16:04:45, purchase_requisition={300170}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-06-03 16:04:45, purchase_requisition={300171}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2919, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 16:18:34, purchase_requisition={300146}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1562, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-06-03 16:30:56, purchase_requisition={300114}, production_order={}})
EXECUTING goods receipt for purchase order with SAP params: {PLANT=1000, PO_NUMBER=SAMPLE_PURORD_8940, ENTRY_QNT=0, PSTNG_DATE=2019-06-03, PO_ITEM=10, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1015}, activity=goods receipt for purchase order, material={}, purchase_order={70082}, amount_material=0, time=2019-06-03 16:47:42, purchase_requisition={}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_7290, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-06-03 16:49:39, purchase_requisition={300150}, production_order={}})
EXECUTING goods issue for production order with SAP params: {ORDERID=SAMPLE_PRODORD_7645, PLANT=1000, ENTRY_QNT0=0, MATERIAL0=DPC1018, RESERV_NO=SAMPLE_RES_257, PSTNG_DATE=2019-06-03, STGE_LOC=0001, DOC_DATE=2019-06-03}	 | 	(LOG: {required_material={DPC1018}, activity=goods issue for production order, material={}, purchase_order={}, amount_material=0, time=2019-06-03 16:50:09, purchase_requisition={}, production_order={990052}})
